브랜드명,상품명,이미지 URL,할인율,할인가(원),원가(원)
스타벅스,[특가] 카페 아메리카노T,https://bizimg.giftishow.com/Resource/goods/2025/G00003320982/G00003320982.jpg,15,"3,990","4,700"
스타벅스,[특가] 아이스 카페 아메리카노T,https://bizimg.giftishow.com/Resource/goods/2025/G00003320983/G00003320983.jpg,15,"3,990","4,700"
메가MGC커피,(HOT)아메리카노,https://bizimg.giftishow.com/Resource/goods/2024/G00002861260/G00002861260.jpg,~12,"1,320","1,500"
배달의민족,[배달의민족] 모바일상품권 3만원,https://bizimg.giftishow.com/Resource/goods/2024/G00002840939/G00002840939.jpg,3,"29,100","30,000"
메가MGC커피,(ICE)아메리카노,https://bizimg.giftishow.com/Resource/goods/2024/G00002861259/G00002861259.jpg,~12,"1,760","2,000"
네이버페이 포인트쿠폰,"네이버페이 포인트 5,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001981040/G00001981040.jpg,5,"4,750","5,000"
신세계,"[법인 전용] 신세계 상품권 100,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00000003454/G00000003454.jpg,6,"94,000","100,000"
네이버페이 포인트쿠폰,"네이버페이 포인트 10,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001981041/G00001981041.jpg,3,"9,700","10,000"
스타벅스,카페 라떼T,https://bizimg.giftishow.com/Resource/goods/2025/G00003320984/G00003320984.jpg,~12,"4,570","5,200"
GS25,GS25 모바일 상품권 5천원권,https://bizimg.giftishow.com/Resource/goods/G00000750717/G00000750717.jpg,~12,"4,400","5,000"
네이버페이 포인트쿠폰,"네이버페이 포인트 50,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001981037/G00001981037.jpg,~2,"49,000","50,000"
배달의민족,[배달의민족] 모바일상품권 5만원,https://bizimg.giftishow.com/Resource/goods/2024/G00002850933/G00002850933.jpg,3,"48,500","50,000"
네이버페이 포인트쿠폰,"네이버페이 포인트 100,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001090881/G00001090881.jpg,~2,"98,000","100,000"
CU,CU 모바일상품권 5천원권,https://bizimg.giftishow.com/Resource/goods/2022/G00000576472/G00000576472.jpg,~12,"4,400","5,000"
신세계,"[법인 전용] 신세계 상품권 50,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00000004403/G00000004403.jpg,6,"47,000","50,000"
GS25,GS25 모바일 상품권 1만원권,https://bizimg.giftishow.com/Resource/goods/G00000750718/G00000750718.jpg,~12,"8,800","10,000"
네이버페이 포인트쿠폰,"네이버페이 포인트 20,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001971091/G00001971091.jpg,3,"19,400","20,000"
스타벅스,[부드러운 디저트 (ICE)] 아이스 카페 아메리카노T 2잔+부드러운 생크림 카스텔라,https://bizimg.giftishow.com/Resource/goods/2025/G00003320992/G00003320992.jpg,~12,"12,230","13,900"
배달의민족,[배달의민족] 모바일상품권 2만원,https://bizimg.giftishow.com/Resource/goods/2024/G00002840936/G00002840936.jpg,3,"19,400","20,000"
롯데리아,리아 불고기 세트,https://bizimg.giftishow.com/Resource/goods/2024/G00003131201/G00003131201.jpg,~12,"6,240","7,100"
네이버페이 포인트쿠폰,"네이버페이 포인트 30,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001971090/G00001971090.jpg,3,"29,100","30,000"
이마트,"[법인 전용] 이마트 50,000원 상품권",https://bizimg.giftishow.com/Resource/goods/2023/G00001971081/G00001971081.jpg,3,"48,500","50,000"
CU,CU 모바일상품권 1만원권,https://bizimg.giftishow.com/Resource/goods/2022/G00000576473/G00000576473.jpg,~12,"8,800","10,000"
CU,CU 모바일상품권 3천원권,https://bizimg.giftishow.com/Resource/goods/2024/G00003181003/G00003181003.jpg,~12,"2,640","3,000"
네이버페이 포인트쿠폰,"네이버페이 포인트 3,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001981038/G00001981038.jpg,5,"2,850","3,000"
컴포즈커피,아메리카노(Ice)(TAKE-OUT),https://bizimg.giftishow.com/Resource/goods/2024/G00002670940/G00002670940.jpg,~12,"1,320","1,500"
신세계,"[법인 전용] 신세계 상품권 200,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00000013229/G00000013229.jpg,~2,"196,000","200,000"
배달의민족,[배달의민족] 모바일상품권 1만원,https://bizimg.giftishow.com/Resource/goods/2024/G00002840934/G00002840934.jpg,3,"9,700","10,000"
GS칼텍스,"GS칼텍스 주유쿠폰 50,000원(30일)",https://bizimg.giftishow.com/Resource/goods/G00000005728/G00000005728.jpg,~2,"49,000","50,000"
신세계,"[법인 전용] 신세계 상품권 10,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00000004068/G00000004068.jpg,6,"9,400","10,000"
GS25,GS25 모바일 상품권 3천원권,https://bizimg.giftishow.com/Resource/goods/2024/G00003180998/G00003180998.jpg,~12,"2,640","3,000"
컴포즈커피,아메리카노(Hot)(TAKE-OUT),https://bizimg.giftishow.com/Resource/goods/2024/G00002670938/G00002670938.jpg,~12,"1,320","1,500"
이마트,"[법인 전용] 이마트 100,000원 상품권",https://bizimg.giftishow.com/Resource/goods/2023/G00000165949/G00000165949.jpg,~2,"98,000","100,000"
스타벅스,[시원하게 함께] 아이스 카페 아메리카노T 2잔,https://bizimg.giftishow.com/Resource/goods/2025/G00003320988/G00003320988.jpg,~12,"8,270","9,400"
BBQ,황금올리브치킨+콜라1.25L,https://bizimg.giftishow.com/Resource/goods/2024/G00002961352/G00002961352.jpg,~12,"22,440","25,500"
SK주유권,SK모바일주유권(5만원권),https://bizimg.giftishow.com/Resource/goods/2021/G00001150765/G00001150765.jpg,~2,"49,000","50,000"
파리바게뜨,"파리바게뜨 교환권 20,000원",https://bizimg.giftishow.com/Resource/goods/G00000211032/G00000211032.jpg,~12,"17,600","20,000"
스타벅스,[따뜻하게 함께] 카페 아메리카노T 2잔,https://bizimg.giftishow.com/Resource/goods/2025/G00003320987/G00003320987.jpg,~12,"8,270","9,400"
메가MGC커피,더블 아아 세트((ICE)아메리카노 2잔),https://bizimg.giftishow.com/Resource/goods/2023/G00001621761/G00001621761.jpg,~12,"3,520","4,000"
올리브영,"올리브영 모바일상품권 10,000원권",https://bizimg.giftishow.com/Resource/goods/2024/G00003101029/G00003101029.jpg,~12,"8,800","10,000"
교촌치킨,교촌오리지날+콜라1.25L,https://bizimg.giftishow.com/Resource/goods/2024/G00002971421/G00002971421.jpg,~12,"19,360","22,000"
이디야커피,(L)HOT아메리카노,https://bizimg.giftishow.com/Resource/goods/2024/G00002871297/G00002871297.jpg,~12,"2,810","3,200"
이마트금액권,"[법인 전용] 이마트 전용 50,000원 금액권",https://bizimg.giftishow.com/Resource/goods/2023/G00000631139/G00000631139.jpg,8,"46,000","50,000"
신세계,"[법인 전용] 신세계 상품권 30,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00000004067/G00000004067.jpg,6,"28,200","30,000"
맘스터치,싸이버거 세트,https://bizimg.giftishow.com/Resource/goods/2024/G00003181007/G00003181007.jpg,~12,"6,420","7,300"
GS25,퍼페티)츄파춥스300,https://bizimg.giftishow.com/Resource/goods/2023/G00001981028/G00001981028.jpg,~12,260,300
GS칼텍스,"GS칼텍스 주유쿠폰 30,000원(30일)",https://bizimg.giftishow.com/Resource/goods/G00000005247/G00000005247.jpg,~2,"29,400","30,000"
스타벅스,시그니처 핫 초콜릿T,https://bizimg.giftishow.com/Resource/goods/2025/G00003320986/G00003320986.jpg,~12,"5,190","5,900"
빽다방,아메리카노(HOT),https://bizimg.giftishow.com/Resource/goods/2024/G00002871295/G00002871295.jpg,~12,"1,320","1,500"
신세계,"[개인사업자 전용] 신세계 상품권 100,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00002001023/G00002001023.jpg,~2,"98,000","100,000"
신세계,"[법인 전용] 신세계 상품권 5,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00000000957/G00000000957.jpg,8,"4,600","5,000"
스타벅스,[부드러운 디저트(HOT)] 카페 아메리카노T 2잔+부드러운 생크림 카스텔라,https://bizimg.giftishow.com/Resource/goods/2025/G00003320991/G00003320991.jpg,~12,"12,230","13,900"
스타벅스,[따뜻한 라떼 커플] 카페 라떼T 2잔,https://bizimg.giftishow.com/Resource/goods/2025/G00003320989/G00003320989.jpg,~12,"9,150","10,400"
스타벅스,[고맙습니다] 카페 아메리카노 T 2잔+부드러운 흑임자 롤,https://bizimg.giftishow.com/Resource/goods/2025/G00003310996/G00003310996.jpg,~12,"14,870","16,900"
메가MGC커피,(HOT)카페라떼,https://bizimg.giftishow.com/Resource/goods/2024/G00002861262/G00002861262.jpg,~12,"2,550","2,900"
롯데모바일교환권,[법인 전용] 롯데모바일교환권 5만원권,https://bizimg.giftishow.com/Resource/goods/2024/G00002651053/G00002651053.jpg,4,"48,000","50,000"
배스킨라빈스,싱글레귤러 아이스크림,https://bizimg.giftishow.com/Resource/goods/2023/G00002101010/G00002101010.png,~12,"3,430","3,900"
GS칼텍스,"GS칼텍스 주유쿠폰 20,000원(30일)",https://bizimg.giftishow.com/Resource/goods/G00000006941/G00000006941.jpg,~2,"19,600","20,000"
CU,CU 모바일상품권 2천원권,https://bizimg.giftishow.com/Resource/goods/2024/G00003181002/G00003181002.jpg,~12,"1,760","2,000"
이마트,"[법인 전용] 이마트 20,000원 상품권",https://bizimg.giftishow.com/Resource/goods/2023/G00001981033/G00001981033.jpg,3,"19,400","20,000"
배스킨라빈스,배스킨라빈스 교환권 [1만원],https://bizimg.giftishow.com/Resource/goods/2023/G00001961020/G00001961020.jpg,~12,"8,800","10,000"
GS25,농심)육개장사발면(소컵),https://bizimg.giftishow.com/Resource/goods/2022/G00001451497/G00001451497.jpg,~12,880,"1,000"
투썸플레이스,떠먹는 스트로베리 초콜릿 생크림,https://bizimg.giftishow.com/Resource/goods/2022/G00001401157/G00001401157.jpg,~12,"5,890","6,700"
CU,CU 모바일상품권 3만원권,https://bizimg.giftishow.com/Resource/goods/2022/G00000576475/G00000576475.jpg,~12,"26,400","30,000"
신세계,"[법인 전용] 신세계 상품권 20,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00000008025/G00000008025.jpg,6,"18,800","20,000"
현대오일뱅크,"현대오일뱅크 30,000원권",https://bizimg.giftishow.com/Resource/goods/2024/G00003150945/G00003150945.png,~2,"29,400","30,000"
피자헛,피자헛 (오리지널) 할라 페페로니 러버 M+ 콜라 1.25L,https://bizimg.giftishow.com/Resource/goods/2024/G00002430977/G00002430977.jpg,~22,"18,300","23,200"
스타벅스,아이스 카페 라떼T,https://bizimg.giftishow.com/Resource/goods/2025/G00003320985/G00003320985.jpg,~12,"4,570","5,200"
쿠가횡성한우,횡성한우4구300(등심+안채+특수+차돌)1등급1.2kg,https://bizimg.giftishow.com/Resource/goods/2024/G00003240948/G00003240948.jpg,33,"151,050","222,300"
GS25,GS25 모바일 상품권 2천원권,https://bizimg.giftishow.com/Resource/goods/2024/G00003180997/G00003180997.jpg,~12,"1,760","2,000"
교촌치킨,허니오리지날+콜라1.25L,https://bizimg.giftishow.com/Resource/goods/2024/G00002971422/G00002971422.jpg,~12,"19,360","22,000"
배달의민족,[배달의민족] 모바일상품권 4만원,https://bizimg.giftishow.com/Resource/goods/2024/G00002840943/G00002840943.jpg,3,"38,800","40,000"
SK주유권,SK모바일주유권(3만원권),https://bizimg.giftishow.com/Resource/goods/2021/G00001150762/G00001150762.jpg,~2,"29,400","30,000"
이마트금액권,"[법인 전용] 이마트 전용 30,000원 금액권",https://bizimg.giftishow.com/Resource/goods/2023/G00000576751/G00000576751.jpg,8,"27,600","30,000"
파리바게뜨,"파리바게뜨 교환권 30,000원",https://bizimg.giftishow.com/Resource/goods/G00000183546/G00000183546.jpg,~12,"26,400","30,000"
배달의민족,[배달의민족] 모바일상품권 5천원,https://bizimg.giftishow.com/Resource/goods/2024/G00002840931/G00002840931.jpg,3,"4,850","5,000"
GS25,GS25 모바일 상품권 5만원권,https://bizimg.giftishow.com/Resource/goods/2023/G00002061009/G00002061009.jpg,~12,"44,000","50,000"
네이버페이 포인트쿠폰,"네이버페이 포인트 1,000원",https://bizimg.giftishow.com/Resource/goods/2023/G00001971093/G00001971093.jpg,5,950,"1,000"
굽네치킨,오리지널+콜라1.25L,https://bizimg.giftishow.com/Resource/goods/2024/G00002961333/G00002961333.jpg,~12,"17,950","20,400"
